2021-02-19_15:57:37,208,11,૧૧-શીકેર,2033,2149,4182,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-19_15:57:37,208,12,૧૨-સ્યાદલા,1935,2086,4021,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-19_15:57:37,208,13,૧૩-વાલોડ-૧,1701,1853,3554,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-19_15:57:37,208,14,૧૪-વાલોડ-૨,2022,2055,4077,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-19_15:57:37,208,15,૧૫-વાલોડ-૩,1650,1677,3327,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-19_15:57:37,208,16,૧૬-વેડછી,1961,2171,4132,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-19_15:57:37,209,1,૧-અંતાપુર,2305,2373,4678,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,dolvan
2021-02-19_15:57:37,209,2,૨-બામણામાળદુર,2622,2824,5446,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,dolvan
2021-02-19_15:57:37,209,3,૩-બેડારાયપુરા,2147,2182,4329,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,dolvan
2021-02-19_15:57:37,209,4,૪-બેડચીત,2593,2614,5207,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,dolvan
2021-02-19_15:57:37,209,5,૫-ચુનાવાડી,2346,2398,4744,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,dolvan
2021-02-19_15:57:37,209,6,૬-ડોલવણ,2835,2888,5723,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,dolvan
2021-02-19_15:57:37,209,7,૭-ગડત,2290,2379,4669,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,dolvan
2021-02-19_15:57:37,209,8,૮-કાકડવા,1972,2023,3995,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,dolvan
2021-02-19_15:57:37,209,9,૯-કલકવા,1995,2024,4019,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,dolvan
2021-02-19_15:57:37,209,10,૧૦-કરંજખેડ,2129,2162,4291,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,dolvan
2021-02-19_15:57:37,209,11,૧૧-પાટી,2027,2200,4227,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,dolvan
2021-02-19_15:57:37,209,12,૧૨-પીપલવાડા,2465,2589,5054,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,dolvan
2021-02-19_15:57:37,209,13,૧૩-પીઠાદરા,2227,2290,4517,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,dolvan
2021-02-19_15:57:37,209,14,૧૪-તાકીઆંબા,2212,2327,4539,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,dolvan
2021-02-19_15:57:37,209,15,૧૫-ઉમરવાવદુર,2035,2073,4108,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,dolvan
2021-02-19_15:57:37,209,16,૧૬-ઉમરવાવનજીક,2421,2564,4985,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,dolvan
2021-02-19_15:57:37,210,1,૧-બહુરૂપા,1850,1939,3789,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,kukarmunda
2021-02-19_15:57:37,210,2,૨-બાલદા,1519,1484,3003,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,kukarmunda
2021-02-19_15:57:37,210,3,૩-બાલંબા,1168,1195,2363,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,kukarmunda
2021-02-19_15:57:37,210,4,૪-ચોખીઆમલી,1526,1616,3142,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,kukarmunda
2021-02-19_15:57:37,210,5,૫-ડાબરીઆંબા(ગંગથા),1572,1613,3185,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,kukarmunda
2021-02-19_15:57:37,210,6,૬-ફુલવાડી-૧,1517,1487,3004,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,kukarmunda
2021-02-19_15:57:37,210,7,૭-ફુલવાડી-૨,866,883,1749,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,kukarmunda
2021-02-19_15:57:37,210,8,૮-ફુલવાડી-૩,1076,1185,2261,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,kukarmunda
2021-02-19_15:57:37,210,9,૯-ફુલવાડી-૪,1361,1498,2859,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,kukarmunda
2021-02-19_15:57:37,210,10,૧૦-ઇટવાઇ,1380,1515,2895,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,kukarmunda
2021-02-19_15:57:37,210,11,૧૧-કેવડામોઇ,1826,1854,3680,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,kukarmunda
2021-02-19_15:57:37,210,12,૧૨-મટાવલ,1612,1694,3306,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,kukarmunda
2021-02-19_15:57:37,210,13,૧૩-મોરંબા,1694,1805,3499,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,kukarmunda
2021-02-19_15:57:37,210,14,૧૪-પીશાવર,977,960,1937,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,kukarmunda
2021-02-19_15:57:37,210,15,૧૫-રાજપુર,1681,1812,3493,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,kukarmunda
2021-02-19_15:57:37,210,16,૧૬-સદગવાણ,1128,1120,2248,NoData,NoData,NoData,0.00,0.00,0.00,Taluka Panchayat,kukarmunda
