2021-03-02_15:09:59,205,4,૪-ખોડદા,1,ST,ઉદેસિંગભાઈ ઉત્તમભાઈ વળવી,ભારતીય રાષ્ટ્રિય કોંગ્રેસ,934,ચુંટાયેલ,Taluka Panchayat,Nizar
2021-03-02_15:09:59,205,5,૫-કોઠલીબુદ્રક,1,ST Female,રમિલાબેન મધુકરભાઇ મોરે,ભારતીય રાષ્ટ્રિય કોંગ્રેસ,1199,ચુંટાયેલ,Taluka Panchayat,Nizar
2021-03-02_15:09:59,205,6,૬-લક્ષ્મીખેડા,1,ST,મનિન્દ્રસિંગ પ્રેમકુમાર વળવી,ભારતીય રાષ્ટ્રિય કોંગ્રેસ,1295,ચુંટાયેલ,Taluka Panchayat,Nizar
2021-03-02_15:09:59,205,7,૭-નિઝર-૧,1,ST Female,મીનાબેન ગોંવિદભાઇ પાડવી,ભારતીય જનતા પાર્ટી,1053,ચુંટાયેલ,Taluka Panchayat,Nizar
2021-03-02_15:09:59,205,8,૮-નિઝર-૨,1,ST Female,નિતાબેન જયદાસભાઇ પાડવી,ભારતીય જનતા પાર્ટી,1005,ચુંટાયેલ,Taluka Panchayat,Nizar
2021-03-02_15:09:59,205,9,૯-રાયગઢ-૧,1,ST Female,દક્ષાબેન દિલીપભાઈ વસાવે,ભારતીય જનતા પાર્ટી,1613,ચુંટાયેલ,Taluka Panchayat,Nizar
2021-03-02_15:09:59,205,10,૧૦-રાયગઢ-૨,1,ST,મેહુલકુમાર કૃષ્ણાભાઈ પાડવી,ભારતીય જનતા પાર્ટી,1226,ચુંટાયેલ,Taluka Panchayat,Nizar
2021-03-02_15:09:59,205,11,૧૧-સરવાળા,1,OBC,છોટુભાઇ બુલાખીભાઇ નાઇ,ભારતીય જનતા પાર્ટી,1714,ચુંટાયેલ,Taluka Panchayat,Nizar
2021-03-02_15:09:59,205,12,૧૨-શાલે-૧,1,ST,વિરેન્દ્રસિંહ યશવંતભાઈ નાઈક,ભારતીય જનતા પાર્ટી,2213,ચુંટાયેલ,Taluka Panchayat,Nizar
2021-03-02_15:09:59,205,13,૧૩-શાલે-૨,1,ST Female,હિનાબેન અરવિંદભાઈ વળવી,ભારતીય જનતા પાર્ટી,2291,ચુંટાયેલ,Taluka Panchayat,Nizar
2021-03-02_15:09:59,205,14,૧૪-વેલદા-૧,1,ST Female,આરતીબેન સુરેશભાઈ પાડવી,ભારતીય રાષ્ટ્રિય કોંગ્રેસ,1105,ચુંટાયેલ,Taluka Panchayat,Nizar
